inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
lui,-------------------------0110111,0,0,1
auipc,-------------------------0010111,0,0,1
jal,-------------------------1101111,0,0,1
jalr,-----------------000-----1100111,1,0,1
beq,-----------------000-----1100011,1,1,0
bne,-----------------001-----1100011,1,1,0
blt,-----------------100-----1100011,1,1,0
bge,-----------------101-----1100011,1,1,0
bltu,-----------------110-----1100011,1,1,0
bgeu,-----------------111-----1100011,1,1,0
lb,-----------------000-----0000011,1,0,1
lh,-----------------001-----0000011,1,0,1
lw,-----------------010-----0000011,1,0,1
lbu,-----------------100-----0000011,1,0,1
lhu,-----------------101-----0000011,1,0,1
sb,-----------------000-----0100011,1,1,0
sh,-----------------001-----0100011,1,1,0
sw,-----------------010-----0100011,1,1,0
addi,-----------------000-----0010011,1,0,1
slti,-----------------010-----0010011,1,0,1
sltiu,-----------------011-----0010011,1,0,1
xori,-----------------100-----0010011,1,0,1
ori,-----------------110-----0010011,1,0,1
andi,-----------------111-----0010011,1,0,1
add,0000000----------000-----0110011,1,1,1
sub,0100000----------000-----0110011,1,1,1
sll,0000000----------001-----0110011,1,1,1
slt,0000000----------010-----0110011,1,1,1
sltu,0000000----------011-----0110011,1,1,1
xor,0000000----------100-----0110011,1,1,1
srl,0000000----------101-----0110011,1,1,1
sra,0100000----------101-----0110011,1,1,1
or,0000000----------110-----0110011,1,1,1
and,0000000----------111-----0110011,1,1,1
fence,-----------------000-----0001111,1,0,1
ecall,00000000000000000000000001110011,0,0,0
ebreak,00000000000100000000000001110011,0,0,0
lwu,-----------------110-----0000011,1,0,1
ld,-----------------011-----0000011,1,0,1
sd,-----------------011-----0100011,1,1,0
slli,000000-----------001-----0010011,1,0,1
srli,000000-----------101-----0010011,1,0,1
srai,010000-----------101-----0010011,1,0,1
addiw,-----------------000-----0011011,1,0,1
slliw,0000000----------001-----0011011,1,0,1
srliw,0000000----------101-----0011011,1,0,1
sraiw,0100000----------101-----0011011,1,0,1
addw,0000000----------000-----0111011,1,1,1
subw,0100000----------000-----0111011,1,1,1
sllw,0000000----------001-----0111011,1,1,1
srlw,0000000----------101-----0111011,1,1,1
sraw,0100000----------101-----0111011,1,1,1
mul,0000001----------000-----0110011,1,1,1
mulh,0000001----------001-----0110011,1,1,1
mulhsu,0000001----------010-----0110011,1,1,1
mulhu,0000001----------011-----0110011,1,1,1
div,0000001----------100-----0110011,1,1,1
divu,0000001----------101-----0110011,1,1,1
rem,0000001----------110-----0110011,1,1,1
remu,0000001----------111-----0110011,1,1,1
mulw,0000001----------000-----0111011,1,1,1
divw,0000001----------100-----0111011,1,1,1
divuw,0000001----------101-----0111011,1,1,1
remw,0000001----------110-----0111011,1,1,1
remuw,0000001----------111-----0111011,1,1,1
lr.w,00010--00000-----010-----0101111,1,0,1
sc.w,00011------------010-----0101111,1,1,1
amoswap.w,00001------------010-----0101111,1,1,1
amoadd.w,00000------------010-----0101111,1,1,1
amoxor.w,00100------------010-----0101111,1,1,1
amoand.w,01100------------010-----0101111,1,1,1
amoor.w,01000------------010-----0101111,1,1,1
amomin.w,10000------------010-----0101111,1,1,1
amomax.w,10100------------010-----0101111,1,1,1
amominu.w,11000------------010-----0101111,1,1,1
amomaxu.w,11100------------010-----0101111,1,1,1
lr.d,00010--00000-----011-----0101111,1,0,1
sc.d,00011------------011-----0101111,1,1,1
amoswap.d,00001------------011-----0101111,1,1,1
amoadd.d,00000------------011-----0101111,1,1,1
amoxor.d,00100------------011-----0101111,1,1,1
amoand.d,01100------------011-----0101111,1,1,1
amoor.d,01000------------011-----0101111,1,1,1
amomin.d,10000------------011-----0101111,1,1,1
amomax.d,10100------------011-----0101111,1,1,1
amominu.d,11000------------011-----0101111,1,1,1
amomaxu.d,11100------------011-----0101111,1,1,1
sfence.vma,0001001----------000000001110011,1,1,0
sret,00010000001000000000000001110011,0,0,0
mret,00110000001000000000000001110011,0,0,0
wfi,00010000010100000000000001110011,0,0,0
