inst name,mask,rs1_valid_w,rs2_valid_w,rd_valid_w
lr.w,00010--00000-----010-----0101111,1,0,1
sc.w,00011------------010-----0101111,1,1,1
amoswap.w,00001------------010-----0101111,1,1,1
amoadd.w,00000------------010-----0101111,1,1,1
amoxor.w,00100------------010-----0101111,1,1,1
amoand.w,01100------------010-----0101111,1,1,1
amoor.w,01000------------010-----0101111,1,1,1
amomin.w,10000------------010-----0101111,1,1,1
amomax.w,10100------------010-----0101111,1,1,1
amominu.w,11000------------010-----0101111,1,1,1
amomaxu.w,11100------------010-----0101111,1,1,1
